4096	6016	256
4900	6190	510
5625	6610	605
6561	7444	702
7744	8872	791
9025	10790	921
10404	13114	1148
12100	16130	1325
14161	19982	1519
16384	24320	1024
19321	24914	2068
22500	26718	2497
26244	30066	2852
30625	35318	3219
35721	42864	3667
41616	52812	4656
48400	64924	5417
56644	80386	6173
65536	97792	4096
76729	99976	8256
89401	106994	9936
104329	120170	11359
121801	140944	12845
142129	170876	14618
165649	210542	18477
192721	258894	21728
225625	320634	24626
262144	392192	16384
305809	400556	32950
357604	429086	39818
417316	481838	45455
485809	563132	51272
567009	682356	59606
660969	840756	73760
770884	1037186	87239
900601	1280716	98683
1048576	1570816	65536
1223236	1604354	132057
1428025	1716850	159120
1666681	1926994	181600
1943236	2254946	205087
2268036	2731954	235919
2643876	3365854	295817
3083536	4151964	349789
3598609	5119224	395003
4194304	6287360	262144
4892944	6421676	530453
5712100	6871838	636576
6661561	7707272	726043
7767369	9017226	819871
9066121	10923242	934831
10569001	13457762	1183665
12334144	16614296	1389205
14386849	20469616	1583913
16777216	25157632	1048576
19571776	25695224	2117639
22838841	27489394	2545992
26635921	30827692	2903330
31069476	36078574	3279567
36252441	43683832	3730758
42276004	53842362	4728847
49322529	66444310	5582668
57532225	81863904	6337011
67108864	100646912	4194304
78287104	102797936	8553241
91336249	109961672	10176001
106543684	123329282	11613456
124277904	144333636	13118339
144985681	174717068	14916160
169104016	215392076	18969385
197290116	265802994	22435644
230128900	327484742	25302071
268435456	402620416	16777216
313148416	411225824	34211487
365306769	439854892	40601101
426133449	493311562	46450276
497111616	577373224	52506794
